,Principal Component 1,Principal Component 2
396,350.3285872184626,35.59360995127998
397,-240.22875534183092,-60.605352049432064
398,-155.18781178976272,-51.18523047549315
399,-216.28609392661784,-53.03581744143564
400,108.2582964227134,-28.57394071818367
401,-244.77799904663755,-53.422904296489946
402,-4.555085048760281,-50.15004040416375
403,-121.48710225825087,-35.18513865356472
404,2164.966179435118,166.15274450937912
405,-242.613418883312,-60.211434094518495
406,-184.02580504166082,-38.20722875697686
407,-159.1642132381076,-65.19370047550827
408,1520.1369255053287,-356.10693572374026
409,-149.23323810782236,-46.280353587062876
410,-238.3236028327553,-59.30100130508273
411,-157.70161731167215,-37.522324973665484
412,123.12027372182763,17.5783021384568
413,-218.60069555437744,-56.27493996007895
414,16.40516354554429,36.49051432204396
415,-56.264159115685054,-22.96446298151042
416,-241.7040328465357,-57.64713910186118
417,417.14510775697744,-18.327431790108964
418,-188.06058811712774,-54.64812692724104
419,-10.380090634914643,-35.11947490042305
420,-240.232146063904,-60.79934209712895
421,-240.46359572211676,-60.077520413021475
422,-215.76368695395803,-34.55968207909209
423,-14.414448305700624,22.16602871794401
424,410.68637264331255,62.63114846521505
425,-248.5231961190548,-55.06691947753916
426,-239.53967794933868,-55.04260867970507
427,-80.89383056250928,-48.20572646061914
428,0.6125021285080768,-31.39655833813883
429,-236.25200509570584,-58.86871787964202
430,35.21461957208658,-12.557652593081457
431,-240.62030356032886,-51.00703003974674
432,-242.2129981372982,-59.902925572913006
433,-42.57692012253949,-58.58021788774576
434,-142.09564915391195,-43.500910177222615
435,-162.6975231920424,32.6407659964667
436,-175.36953192160942,-53.79852626314679
437,-230.98936180093625,-58.885567060243986
438,555.1370488034056,169.29517653041657
439,594.5840446930805,173.69409089966342
440,-204.59141129978312,-58.30223360039044
441,217.548869746414,-10.592276461365609
442,268.8746966893765,17.677659292288993
443,-219.67641177140453,-58.98207432414697
444,-223.0717970762601,-59.42870130252618
445,-208.95360836819702,-57.3411373812915
446,262.8928309835166,41.89210886207191
447,-213.13518392059984,-63.88000758577259
448,-246.0806002654011,-58.05037406847182
449,-226.1637086934118,-62.18175243362831
450,272.56608124776363,-19.46267434265214
451,371.9935799638653,25.978097532310258
452,-233.7881394816359,-59.64132317719104
453,116.33149580140245,-30.222207474692357
454,-224.15049006222984,-62.6342070372852
455,-218.98168329747233,-56.23762885080641
456,-127.55647146266826,-48.906472377959275
457,304.9100930765765,1.6117072122102323
458,-232.22556325823257,-52.1969315105638
459,333.1138159936425,25.84594164914276
460,154.8622661801815,-35.63439048191898
461,-104.71522248013423,-53.64471894404896
462,-235.60084231920402,-60.47030215200038
463,-242.58863475110445,-60.00637663178545
464,-181.98619087877458,-50.5515462998335
465,-133.96987493361422,1.3341453160654426
466,-235.11367520393605,-27.340331628356537
467,36.56979648983073,-34.23128814401073
468,-204.1447354596933,-53.56283748074662
469,-242.23568136663997,-59.623339732038374
470,-166.51418147026558,-53.37210033355891
471,-237.09981783526584,-60.198287709309845
472,-139.79140338885225,-30.915162192235933
473,-220.95472408841718,-61.316099317025206
474,76.21063608300062,11.850471305615393
475,-214.50691392120785,-53.114018290798384
476,-244.98026347553596,-48.69529863836004
477,-200.30446096508066,-62.77924985496788
478,-232.41741357452176,-59.257647065687294
479,-140.49907023936456,-51.78975889968937
480,-238.53299761549715,-59.30689212044048
481,-240.0802461272108,-60.59370357913125
482,-221.58185138881964,-62.06450887121234
483,-241.833516298925,-59.76904649529424
484,-236.16231762973635,-60.625812307126026
485,-240.38657244881853,-59.159921201326846
486,-188.92426617716185,-53.270106202601724
487,-119.39400954430766,-50.077903861430634
488,2170.5311807481567,719.2308780529945
489,195.56779951275914,10.915822987320624
490,-236.32328376277636,-56.87128056005099
491,144.69267021344442,27.976980065455912
492,-127.99975595386668,-44.613521913702016
493,-237.82403071602855,-60.43284350186352
494,65.66780219804939,-20.486173530984352
495,-178.6682070712232,-54.49276331187165
496,127.03424059748275,-60.52928559656762
497,-108.43571027296201,-44.1451220213528
498,168.4829751107348,-17.95853878078456
499,25.643892372930097,-35.32248707324416
500,-244.7640507888477,-56.98843031869496
501,-164.78206383792033,-46.54459490581627
502,-239.62115532940527,-51.17441771105282
503,-89.45406492180801,-40.23497769838273
504,232.08954292424056,123.22048964680702
505,876.6463834977104,232.6052686065741
506,-180.92170197448178,-60.226277328578725
507,-233.72098196430426,-58.496296424734666
508,-236.75414334536075,-60.35828031575613
509,-5.6123001824884176,-26.27366292561338
510,-190.1727524751439,-51.80435657228614
511,-209.57759038812125,-53.350769356956
512,-223.50111619810914,-48.93172366208014
513,40.63442443747974,-36.97846360952923
514,-222.49959875516637,-54.18676822164288
515,-137.928165312038,-67.82396363452891
516,-241.42496588432334,-26.99634512897056
517,-234.09704896128656,-57.03722781346321
518,-177.3749149486677,-52.09155471843145
519,93.3820481307156,21.523666102204285
520,-113.26704519115398,-48.51117043839192
521,-236.61984772644942,-27.72032479868219
522,-193.97749399162717,-17.91557845803901
523,188.27942891639796,15.801796734016834
524,-240.26660112180286,-60.77533162839849
525,-162.12982515970074,-60.960105586965255
526,-109.4844166157106,-57.20127331879086
527,-208.8354257219422,-60.74236689354905
528,-202.92202530015783,-58.25056882105182
529,-193.6361657741777,-55.8606487257471
530,-162.17574505343677,-31.787933904225344
531,-84.88238882281256,-39.143788270784064
532,-246.05136929047245,-56.3772386094155
533,-138.4267200302165,-47.07917736448307
534,237.73228378723584,-10.56460613322957
535,-232.23519492810772,-51.69385617093651
536,-56.16492927849644,-38.30646773314159
537,-238.27915316061814,-60.96186677370779
538,-228.10471232873238,-47.726491390577344
539,-135.93424752455414,-44.740922400857556
540,-175.3430740411099,-47.00064774565068
541,-235.08734289753372,-56.718839521882494
542,8.104538065070717,-21.722909475518428
543,369.0004142656899,-29.051887489243754
544,2976.708832562099,568.0938393254228
545,-238.36284555625556,-60.52955483133136
546,299.8938714839215,-39.09460493936738
547,-37.227592430311596,-77.3312533640297
548,-211.0524446386912,-63.299326220407956
549,-237.61794714682864,-60.88206496964248
550,-91.2895388635253,-45.71391928345384
551,-186.86115078381565,-53.46240961053864
552,-131.4763977237756,-53.22891268959578
553,-208.1654204609947,-64.10671258089646
554,-192.98543506496165,-57.708350509823084
555,-237.89200144560527,-39.5748958889526
556,574.9837088671105,203.30329903400533
557,222.54980196367003,47.910372558764095
558,-247.9423386998511,-55.528620729417575
559,57.098189591723745,-26.847935148062138
560,-229.7841609683912,-59.21385068556972
561,96.5443200775005,12.621521170184854
562,-204.2340848787688,-46.15040872187328
563,-244.7426320087813,-47.20736710540147
564,-91.47285636204708,-23.46779790573953
565,-228.62637765287982,-58.70422840311039
566,-240.2583363614532,-58.17912694691561
567,-222.82381960280435,-53.28867671803421
568,-220.99319663458908,-57.908742437452666
569,-224.03224644575056,-56.51709107066093
570,-200.46454599216887,-56.3713284489736
571,-240.7055399753649,-60.66497681461967
572,-78.00677227801104,-23.950131439199364
573,-240.13412860541334,-57.030479881539726
574,-218.3627006060748,-41.82618438115593
575,11.838973545901982,-49.27427812798323
576,-235.24304760944324,-59.81642560585033
577,-234.5994275564848,-60.70016649314671
578,-143.3968597072502,-38.346969574558756
579,-247.23332134538998,-55.03927768236375
580,-232.53112435344605,-52.03803854876354
581,-240.35946967916453,-56.33955678301553
582,-130.25611205755513,-27.34213903007115
583,-237.0572489728387,-58.76216002801786
584,-246.35790366572502,-58.55921790495386
585,204.06079338451553,8.246892407793085
586,-126.751031068897,-75.34932842543881
587,-245.10266652285378,-58.41786391970162
588,-67.48606465115871,-1.2421006979701061
589,-168.26125854821592,-49.15986277060802
590,-174.69830144704272,-50.983681437143105
591,1847.585189959387,241.1439698926569
592,-81.86795465537021,-42.626320175719066
593,-217.3489994872429,-57.747701555309334
594,-244.93883456294193,-59.69508018364719
595,-217.02100556618143,-56.48682292415466
596,-206.0047309194286,-57.80909408179507
597,-206.38278519272725,-52.61256249397435
598,-246.21534854585877,-60.072286270522355
599,-247.76134480803051,-56.75181652963194
600,148.2970300987328,-19.513563928595847
601,-233.70831262737997,-58.76351804569123
602,-244.70006208914958,-57.44618719565104
603,195.91093879056442,15.711404346557098
604,-234.27435638624294,-58.124262062738055
605,-204.6772526225046,-55.19063507459129
606,-230.2958164781447,-55.37612653874442
607,-232.36627312893785,-57.07617966941172
608,-240.7427592813799,-59.88912960736442
609,-242.660525905137,-60.44551304874438
610,-115.56749742845169,-45.4082776878837
611,-83.35420869627565,-39.84752684037686
